true_label,predicted_label,count
Sad,Neutral,126
Fear,Sad,95
Sad,Fear,93
Angry,Neutral,80
Neutral,Sad,74
Fear,Neutral,65
Angry,Fear,63
Angry,Sad,63
Sad,Angry,61
Neutral,Happy,59
Fear,Angry,57
Happy,Neutral,47
Surprise,Fear,47
Fear,Surprise,46
Neutral,Fear,40
Angry,Happy,31
Neutral,Angry,31
Sad,Happy,28
Happy,Surprise,26
Fear,Happy,23
Surprise,Angry,21
Happy,Sad,20
Surprise,Happy,20
Angry,Surprise,19
Happy,Fear,18
Happy,Angry,16
Neutral,Surprise,14
Surprise,Neutral,13
Surprise,Sad,10
Disgust,Angry,6
Disgust,Sad,6
Angry,Disgust,5
Sad,Surprise,4
Disgust,Fear,3
Disgust,Happy,1
Disgust,Neutral,1
Disgust,Surprise,1
Fear,Disgust,1
Happy,Disgust,1
Sad,Disgust,1
Surprise,Disgust,1
