Metric,Real-only,Synthetic,Absolute delta
Accuracy,0.6895751102855816,0.6775017413512886,-0.012073368934293005
Macro F1,0.6852434919557613,0.6633348590927591,-0.021908632863002153
Weighted F1,0.6877526451973559,0.6753242082925786,-0.012428436904777351
ROC-AUC,0.9102756250095086,0.9169378013219627,0.006662176312454027
Angry F1,0.5987599645704162,0.5828662930344275,-0.01589367153598875
Disgust F1,0.7768595041322314,0.6991869918699187,-0.07767251226231264
Fear F1,0.5434962717481359,0.5093167701863354,-0.034179501561800496
Happy F1,0.8681818181818182,0.8699592206615315,0.0017774024797133636
Neutral F1,0.6571072319201995,0.6398334489937544,-0.017273782926445103
Sad F1,0.5864768683274021,0.5777184789859907,-0.008758389341411377
Surprise F1,0.7658227848101266,0.7644628099173554,-0.0013599748927711763
